"country","controlofcorruption","governmenteffectiveness","politicalstability","regulatoryquality","ruleoflaw","voiceandaccountability"
"Afghanistan",-1.401075602,-1.463874936,-2.649406672,-1.120555401,-1.713526964,-0.988032281
"Albania",-0.528757572,-0.0613309,0.118569545,0.27437982,-0.411179394,0.151804656
"Algeria",-0.621849775,-0.516174555,-1.003575444,-1.30337894,-0.815463781,-1.037678838
"Andorra",1.234391928,1.908748507,1.615139484,1.228176475,1.579938889,1.139153957
"Angola",-1.054683328,-1.11714375,-0.311100543,-0.893871367,-1.054343104,-0.777283192
"Antigua and Barbuda",0.277898192,-0.003869704,0.959708989,0.485374689,0.405204654,0.760443568
"Argentina",-0.071071357,-0.086485885,-0.119978487,-0.492752582,-0.430725634,0.600434899
"Armenia",-0.184168339,-0.066817373,-0.506410658,0.249515325,-0.131275758,0.050042748
"Aruba",1.217238307,1.029932737,1.357371688,0.857360125,1.263128042,1.294188738
"Australia",1.811107159,1.571896076,1.086503386,1.873539448,1.734144568,1.315125465
"Austria",1.545428872,1.490911484,0.980122685,1.459115505,1.883051276,1.326598525
"Azerbaijan",-0.868407249,-0.139176816,-0.681131005,-0.226641282,-0.577270329,-1.49178791
"Bahamas, The",1.184628129,0.486096263,0.829479456,-0.048303783,0.07653188,0.934263945
"Bahrain",-0.010218021,0.29876098,-0.661517978,0.485098511,0.494377792,-1.412584305
"Bangladesh",-0.99380964,-0.739230096,-0.918173492,-0.928954303,-0.636308372,-0.721775413
"Barbados",1.261709213,0.631425023,0.941733658,0.412301004,0.357029229,1.131866813
"Belarus",-0.059538983,-0.183332756,0.289130211,-0.543780625,-0.794457793,-1.402501941
"Belgium",1.551960588,1.032227039,0.481186211,1.290999055,1.363714933,1.369119644
"Belize",-0.196022809,-0.676701427,0.069815293,-0.544256866,-0.775512457,0.53171438
"Benin",-0.323763877,-0.440651715,-0.347864062,-0.375964671,-0.66412586,0.092065193
"Bhutan",1.617919087,0.313765198,1.092505217,-0.326656669,0.589707732,0.098764874
"Bolivia",-0.742189348,-0.699217975,-0.615354657,-0.993406177,-1.121388674,-0.091236085
"Bosnia and Herzegovina",-0.613145173,-0.634277046,-0.400439739,-0.194002315,-0.233541593,-0.199286312
"Botswana",0.707815588,0.429047972,1.011296868,0.370096385,0.498439223,0.526031435
"Brazil",-0.333998471,-0.186737955,-0.546481133,-0.177793995,-0.180903971,0.344425142
"Brunei Darussalam",0.80188638,1.31830883,1.172245622,0.634455323,0.614266694,-0.948953927
"Bulgaria",-0.155190215,0.339000255,0.540121734,0.531678617,0.035896573,0.38491869
"Burkina Faso",-0.188656166,-0.758510888,-1.188617587,-0.376492023,-0.4262591,-0.180090681
"Burundi",-1.458469748,-1.326321602,-1.649029613,-0.949538887,-1.431904674,-1.708203673
"Cambodia",-1.302400827,-0.579185724,-0.080896698,-0.568834424,-0.935668349,-1.202571392
"Cameroon",-1.208662033,-0.812146544,-1.555283308,-0.82700479,-1.118908525,-1.194610357
"Canada",1.766973615,1.7316432,1.0299052,1.716097236,1.75993979,1.462505341
"Cape Verde",0.870890737,0.293027967,0.880904734,-0.224617526,0.51534462,0.968936265
"Cayman Islands",0.466165394,1.169393539,1.445700407,0.982761264,0.769008577,0.495672584
"Central African Republic",-1.228439927,-1.747200966,-2.182967663,-1.37281239,-1.728385687,-1.20164609
"Chad",-1.420566678,-1.56840384,-1.340024352,-1.119248271,-1.283358335,-1.417729735
"Chile",1.088456869,1.060420394,0.206382424,1.224169135,1.073613167,1.019602299
"China",-0.323496819,0.518253148,-0.240382552,-0.244614422,-0.274718612,-1.61237216
"Colombia",-0.229167059,0.071223222,-0.900254011,0.396612108,-0.416928858,0.22948347
"Comoros",-1.020349741,-1.669197559,-0.148675442,-1.119255543,-1.087502599,-0.68938446
"Congo, Dem. Rep.",-1.53893137,-1.627428532,-1.80800736,-1.5096668,-1.786087513,-1.365965724
"Congo, Rep.",-1.409546971,-1.387706637,-0.892699122,-1.299435973,-1.149709344,-1.261731863
"Costa Rica",0.722371042,0.423158675,0.460217416,0.498035133,0.544092238,1.1252985
"Croatia",0.125540927,0.409974545,0.755473793,0.591005802,0.366134614,0.534780741
"Cuba",0.043240488,-0.172544196,0.613414049,-1.486730814,-0.322489083,-1.424032569
"Cyprus",0.604877234,0.992490411,0.516510785,1.012343168,0.759899378,1.077344537
"Czech Republic",0.506227732,0.885638177,0.952084959,1.245128393,1.046504021,0.936853111
"Denmark",2.107368231,1.937898636,1.008820891,1.565012336,1.89845705,1.578778863
"Djibouti",-0.855659902,-0.713342667,-0.34459272,-0.771701872,-0.914403379,-1.406524897
"Dominica",0.526295245,-0.261264563,1.073779345,0.101900548,0.686338246,0.896702051
"Dominican Republic",-0.763216972,-0.357477993,0.018905936,-0.053592399,-0.347697496,0.201905012
"Ecuador",-0.496410906,-0.398584187,-0.189017475,-0.82361871,-0.577357054,0.060943637
"Egypt, Arab Rep.",-0.670213044,-0.423537672,-1.066420555,-0.827766001,-0.420845985,-1.428673267
"El Salvador",-0.552564859,-0.465440303,-0.127451986,0.021638487,-0.762459636,0.138373628
"Equatorial Guinea",-1.722885609,-1.34201169,-0.190925598,-1.520516157,-1.422314763,-1.863563299
"Eritrea",-1.394766569,-1.757368684,-0.719549894,-2.274918079,-1.595495701,-2.19320941
"Estonia",1.542329311,1.174746513,0.638893664,1.591124177,1.281257153,1.210471869
"Eswatini",-0.487672627,-0.678316951,-0.378595889,-0.612277389,-0.501882732,-1.321230292
"Ethiopia",-0.406465054,-0.634577274,-1.279596686,-0.888970912,-0.473478198,-1.046125174
"Fiji",0.558556616,0.204097673,0.872314095,-0.217418104,-0.025758849,0.094157383
"Finland",2.153081417,1.929312944,0.909082413,1.851015091,2.02214551,1.588976979
"France",1.300967932,1.384610891,0.313681036,1.440291643,1.412058353,1.141659498
"French Guiana",0.919237792,1.387373447,0.277261078,1.314048529,1.165918708,1.294188738
"Gabon",-0.935491443,-0.897753239,-0.178209484,-0.957122266,-0.732850969,-1.030654907
"Gambia, The",-0.28522256,-0.630675972,0.111413479,-0.664919794,-0.371576071,-0.216231689
"Georgia",0.668498397,0.829923272,-0.445855796,1.122067213,0.30997923,0.196047381
"Germany",1.895473123,1.58530879,0.582865298,1.723050117,1.618773222,1.335723877
"Ghana",-0.079038635,-0.210104018,0.098346964,-0.111049563,0.046889737,0.584258199
"Greece",-0.011819171,0.405590326,0.290998459,0.529878974,0.198837951,0.935726702
"Greenland",1.043698549,0.813797832,1.896815419,1.360824704,1.745988846,1.294188738
"Grenada",0.339768201,-0.135928765,0.959708989,-0.313191086,0.175863296,0.707514048
"Guatemala",-0.898420393,-0.676840842,-0.546190917,-0.224992648,-1.052288771,-0.313454151
"Guinea",-0.904965103,-0.77874583,-0.830640495,-0.769820929,-1.209027529,-0.748537481
"Guinea-Bissau",-1.453986049,-1.514441133,-0.562632024,-1.233334541,-1.264044881,-0.458707333
"Guyana",-0.091899708,-0.386060476,-0.237079844,-0.620616257,-0.431348145,0.280045688
"Haiti",-1.339182615,-2.015388489,-0.777887762,-1.260672212,-0.971101403,-0.726322412
"Honduras",-0.808453262,-0.61176312,-0.530697346,-0.492732316,-1.009079695,-0.551860332
"Hong Kong SAR, China",1.672441483,1.741096854,-0.26776728,1.983407617,1.6041435,0.209380567
"Hungary",-0.001035154,0.495365083,0.732527077,0.603486657,0.493134499,0.220063537
"Iceland",1.70797348,1.518277764,1.655898929,1.372984409,1.766923666,1.333944082
